Axial Freqs, Avg. Fidelities
1.000000000000000056e-01,9.984696070445586713e-01
1.019000000000000045e-01,9.984696242868463800e-01
1.038000000000000034e-01,9.984696389350039558e-01
1.057000000000000023e-01,9.984696515023149255e-01
1.076000000000000012e-01,9.984696621829183272e-01
1.095000000000000001e-01,9.984696704117225208e-01
1.113999999999999990e-01,9.984696753456704377e-01
1.133000000000000118e-01,9.984696759663417298e-01
1.152000000000000107e-01,9.984696705995105281e-01
1.171000000000000096e-01,9.984696572118670899e-01
1.190000000000000085e-01,9.984696331994644680e-01
1.209000000000000075e-01,9.984695955495542785e-01
1.228000000000000064e-01,9.984695417581951338e-01
1.247000000000000053e-01,9.984694698663766355e-01
1.265999999999999903e-01,9.984693792379278898e-01
1.285000000000000031e-01,9.984692715860764567e-01
1.304000000000000159e-01,9.984691506522850313e-01
1.323000000000000009e-01,9.984690225056432888e-01
1.342000000000000137e-01,9.984688954156458740e-01
1.360999999999999988e-01,9.984687784801290489e-01
1.380000000000000115e-01,9.984686809827253429e-01
1.398999999999999966e-01,9.984686112064132812e-01
1.418000000000000094e-01,9.984685751362860628e-01
1.436999999999999944e-01,9.984685762563186850e-01
1.456000000000000072e-01,9.984686145711098026e-01
1.475000000000000200e-01,9.984686865394949429e-01
1.494000000000000050e-01,9.984687863448981071e-01
1.512999999999999901e-01,9.984689060560490992e-01
1.532000000000000028e-01,9.984690366617096080e-01
1.551000000000000156e-01,9.984691695753316054e-01
1.570000000000000007e-01,9.984692967963515464e-01
1.589000000000000135e-01,9.984694118440335942e-01
1.607999999999999985e-01,9.984695102040790360e-01
1.627000000000000113e-01,9.984695889067866093e-01
1.646000000000000241e-01,9.984696472251988197e-01
1.665000000000000091e-01,9.984696861563996384e-01
1.683999999999999941e-01,9.984697076200704791e-01
1.703000000000000069e-01,9.984697149726121657e-01
1.722000000000000197e-01,9.984697119734616821e-01
1.741000000000000048e-01,9.984697021648848425e-01
1.759999999999999898e-01,9.984696894159866831e-01
1.779000000000000026e-01,9.984696769098896363e-01
1.798000000000000154e-01,9.984696669704886673e-01
1.817000000000000004e-01,9.984696612446067876e-01
1.835999999999999854e-01,9.984696598884289509e-01
1.854999999999999982e-01,9.984696624933621090e-01
1.874000000000000110e-01,9.984696683366753867e-01
1.893000000000000238e-01,9.984696757659466959e-01
1.912000000000000088e-01,9.984696835829719452e-01
1.930999999999999939e-01,9.984696909686383570e-01
1.950000000000000067e-01,9.984696969227812025e-01
1.969000000000000195e-01,9.984697013521026676e-01
1.988000000000000045e-01,9.984697043449578535e-01
2.006999999999999895e-01,9.984697059361208327e-01
2.026000000000000023e-01,9.984697068370710360e-01
2.045000000000000151e-01,9.984697072874473278e-01
2.064000000000000001e-01,9.984697074849687715e-01
2.082999999999999852e-01,9.984697079767114181e-01
2.101999999999999980e-01,9.984697083442884979e-01
2.121000000000000107e-01,9.984697084178169035e-01
2.140000000000000235e-01,9.984697084825134850e-01
