Initial State,Final State,Path,Effective Pi-Time
"[1, 0]","[2, 0]","['[1, 0]', '2', '[2, 0]']",196.72650107682972
"[1, 1]","[4, 2]","['[1, 1]', '1', '[4, 2]']",260.1116056666905
"[2, 2]","[4, 4]","['[2, 2]', '2', '[4, 4]']",175.25523482502825
"[1, 0]","[1, -1]","['[1, 0]', '-2', '[1, -1]']",368.0271823335621
"[1, 0]","[2, -1]","['[1, 0]', '-2', '[2, -1]']",274.7549831881484
"[1, 0]","[2, 1]","['[1, 0]', '2', '[2, 1]']",229.61782708432906
"[1, 0]","[2, 2]","['[1, 0]', '2', '[2, 2]']",253.0130184808931
"[1, 1]","[2, 1]","['[1, 1]', '-1', '[2, 1]']",378.75851782894983
"[1, 1]",-1,"['[1, 1]', '-1']",262.5745793746722
"[1, 1]","[4, 3]","['[1, 1]', '1', '[4, 2]', '2', '[4, 3]']",339.57140566669045
"[1, 0]","[1, 1]","['[1, 0]', '2', '[4, 2]', '1', '[1, 1]']",428.55638932255533
"[2, 2]","[3, 1]","['[2, 2]', '0', '[3, 1]']",176.66354720858376
"[2, 2]","[3, 2]","['[2, 2]', '1', '[3, 2]']",144.28052174916866
"[1, 1]","[2, 2]","['[1, 1]', '1', '[2, 2]']",291.1127629333637
"[1, 0]","[2, -2]","['[1, 0]', '-2', '[2, -2]']",293.04718387089
"[1, 1]","[3, 0]","['[1, 1]', '0', '[3, 0]']",226.45279441701558
"[2, 2]","[2, -1]","['[2, 2]', '1', '[2, -1]']",149.95746771929828
"[2, 2]","[2, 0]","['[2, 2]', '2', '[2, 0]']",203.95615224599314
"[1, 1]","[2, 0]","['[1, 1]', '0', '[2, 0]']",281.19604263904523
"[1, 1]","[3, 3]","['[1, 1]', '1', '[3, 3]']",258.0724544843863
"[2, 2]","[2, 1]","['[2, 2]', '2', '[2, 1]']",236.84747825349245
"[1, 1]","[2, -1]","['[1, 1]', '1', '[2, -1]']",269.8201591977746
"[2, 2]","[1, -1]","['[2, 2]', '1', '[1, -1]']",279.4294460586952
"[1, 1]",-2,"['[1, 1]', '0', '[2, -2]', '-2']",346.24626648963255
"[2, 2]","[1, 0]","['[2, 2]', '2', '[1, 0]']",253.0130184808931
"[1, 0]","[3, 3]","['[1, 0]', '2', '[4, 2]', '1', '[3, 3]']",275.6533893951016
"[2, 2]","[1, 1]","['[2, 2]', '1', '[1, 1]']",291.1127629333637
"[1, -1]",-2,"['[1, -1]', '-2']",171.429771142091
"[1, 1]","[2, -2]","['[1, 1]', '0', '[2, -2]']",249.7964938102137
"[1, 1]","[3, -1]","['[1, 1]', '0', '[3, -1]']",300.70379566036524
"[1, -1]",-1,"['[1, -1]', '-1']",178.22561678358863
"[1, 1]","[4, -3]","['[1, 1]', '-1', '[4, -3]']",286.62729820916775
"[1, -1]","[3, 1]","['[1, -1]', '0', '[3, 1]']",265.4568112044112
"[1, 0]","[3, 0]","['[1, 0]', '2', '[3, 0]']",314.6420882081534
"[1, 1]","[1, -1]","['[1, 1]', '0', '[1, -1]']",388.10475962441524
"[1, 0]","[4, -3]","['[1, 0]', '-2', '[3, -2]', '-1', '[4, -3]']",327.60478578593137
"[1, 0]","[3, 2]","['[1, 0]', '2', '[4, 2]', '1', '[3, 2]']",281.7241481383603
"[1, -1]",0,"['[1, -1]', '0']",222.8860820497886
"[1, -1]","[3, 2]","['[1, -1]', '1', '[3, 2]']",252.45989635297653
"[1, 0]","[3, 1]","['[1, 0]', '2', '[4, 0]', '0', '[3, 1]']",308.9965343523817
"[1, 1]","[4, -4]","['[1, 1]', '0', '[2, -2]', '-2', '[4, -4]']",367.24446648963254
"[1, -1]",1,"['[1, -1]', '1']",193.80441033125152
"[1, 1]","[4, -2]","['[1, 1]', '0', '[4, -2]']",193.88043001599814
"[1, -1]","[3, 3]","['[1, -1]', '1', '[3, 3]']",246.3891376097178
"[1, 0]","[4, 0]","['[1, 0]', '2', '[4, 0]']",198.11001008989194
"[1, 0]","[4, -1]","['[1, 0]', '2', '[4, 2]', '1', '[4, -1]']",263.6951120886123
"[1, -1]","[2, -2]","['[1, -1]', '-2', '[2, -2]']",267.87954382150986
"[1, 1]","[1, 0]","['[1, 1]', '1', '[4, 2]', '2', '[1, 0]']",428.5563893225553
"[1, -1]","[4, -4]","['[1, -1]', '-2', '[4, -4]']",192.427971142091
"[1, 0]","[4, -2]","['[1, 0]', '2', '[4, 0]', '0', '[4, -2]']",295.0875576391306
"[1, 1]","[4, 0]","['[1, 1]', '0', '[4, 0]']",233.5344726824938
"[1, -1]","[2, -1]","['[1, -1]', '-2', '[2, -1]']",249.5873431387683
"[1, 0]","[3, -3]","['[1, 0]', '-2', '[3, -3]']",235.65451119147113
"[1, 1]","[3, 2]","['[1, 1]', '0', '[3, 2]']",229.87659190681688
"[1, 0]","[4, 3]","['[1, 0]', '2', '[4, 3]']",156.79838365586482
"[1, 1]",0,"['[1, 1]', '0']",165.21867757462664
"[1, -1]","[4, -3]","['[1, -1]', '-1', '[4, -3]']",202.27833561808413
"[1, -1]","[2, 0]","['[1, -1]', '-1', '[2, 0]']",321.2600464840258
"[1, 1]","[3, 1]","['[1, 1]', '0', '[3, 1]']",207.78940672924924
"[1, -1]","[4, -2]","['[1, -1]', '-1', '[4, -2]']",251.0045541071538
"[1, 0]","[4, 1]","['[1, 0]', '2', '[4, 1]']",191.6274674803953
"[1, -1]","[2, 1]","['[1, -1]', '-1', '[2, 1]']",294.40955523786624
"[1, -1]","[4, -1]","['[1, -1]', '1', '[4, -1]']",234.43086030322849
"[1, -1]","[2, 2]","['[1, -1]', '1', '[2, 2]']",279.4294460586952
"[1, -1]","[1, 0]","['[1, -1]', '-2', '[1, 0]']",368.0271823335621
"[1, 1]","[4, 1]","['[1, 1]', '1', '[4, 1]']",252.28339297128863
"[1, -1]","[4, 1]","['[1, -1]', '1', '[4, 1]']",240.60007609662014
"[1, 0]","[3, -1]","['[1, 0]', '-2', '[3, -1]']",263.09722929584245
"[1, -1]","[1, 1]","['[1, -1]', '0', '[1, 1]']",388.10475962441524
"[1, 1]","[4, -1]","['[1, 1]', '0', '[4, -1]']",216.03717394439985
"[1, -1]","[4, 2]","['[1, -1]', '1', '[4, 2]']",248.428288792022
"[1, 0]","[3, -2]","['[1, 0]', '-2', '[3, -2]']",244.1665504998441
"[1, 0]",-2,"['[1, 0]', '-2']",196.59741119147114
"[1, 0]","[4, 2]","['[1, 0]', '2', '[4, 2]']",168.44478365586485
"[1, 1]",1,"['[1, 1]', '1']",205.48772720592
"[1, -1]","[4, 3]","['[1, -1]', '1', '[4, 2]', '2', '[4, 3]']",327.888088792022
"[1, 0]",-1,"['[1, 0]', '-2', '[3, -2]', '-1']",303.55206695143585
"[1, 1]","[3, -2]","['[1, 1]', '-1', '[3, -2]']",321.96009582626397
"[1, 1]","[3, -3]","['[1, 1]', '-1', '[3, -3]']",371.1293289354927
"[1, 0]",0,"['[1, 0]', '2', '[4, 0]', '0']",266.4258051977591
"[1, -1]","[3, -3]","['[1, -1]', '-2', '[3, -3]']",210.486871142091
"[1, 0]","[4, -4]","['[1, 0]', '-2', '[4, -4]']",217.59561119147114
"[1, 0]","[4, 4]","['[1, 0]', '2', '[4, 4]']",168.02558365586484
"[1, 1]","[4, 4]","['[1, 1]', '1', '[4, 2]', '2', '[4, 4]']",350.79860566669043
"[1, -1]","[3, -2]","['[1, -1]', '-2', '[3, -2]']",218.99891045046397
"[1, 1]",2,"['[1, 1]', '1', '[4, 2]', '2']",305.66470566669045
"[1, -1]","[3, -1]","['[1, -1]', '-1', '[3, -1]']",223.55492649486777
"[1, 0]",2,"['[1, 0]', '2']",122.89168365586484
"[1, -1]","[3, 0]","['[1, -1]', '-1', '[3, 0]']",223.47939088596203
"[1, 0]",1,"['[1, 0]', '2', '[4, 2]', '1']",223.06866211663532
"[2, 2]","[3, 0]","['[2, 2]', '0', '[3, 0]']",195.3269348963501
"[2, 2]","[4, 1]","['[2, 2]', '1', '[4, 1]']",132.42070149281227
"[2, 2]","[4, 0]","['[2, 2]', '1', '[4, 0]']",136.031872336859
"[1, -1]",2,"['[1, -1]', '1', '[4, 2]', '2']",293.981388792022
"[2, 2]","[3, 3]","['[2, 2]', '1', '[3, 3]']",138.20976300590996
"[2, 2]","[4, -2]","['[2, 2]', '0', '[4, -2]']",162.75457049533267
"[2, 2]","[4, 2]","['[2, 2]', '1', '[4, 2]']",140.24891418821414
"[2, 2]",2,"['[2, 2]', '2']",130.12133482502824
"[2, 2]",1,"['[2, 2]', '1']",85.62503572744366
"[2, 2]",0,"['[2, 2]', '0']",134.09281805396117
"[2, 2]","[3, -2]","['[2, 2]', '1', '[2, -1]', '-2', '[3, -2]']",275.68417902434857
"[2, 2]",-2,"['[2, 2]', '1', '[2, -1]', '-2']",228.11503971597557
"[1, -1]","[4, 0]","['[1, -1]', '1', '[4, 0]']",244.21124694066685
"[2, 2]","[3, -1]","['[2, 2]', '1', '[3, -1]']",262.22456791519556
"[2, 2]","[4, 3]","['[2, 2]', '2', '[4, 3]']",164.02803482502824
"[2, 2]",-1,"['[2, 2]', '0', '[4, -2]', '-1']",235.53350781889787
"[2, 1]","[2, 2]","['[2, 1]', '2', '[2, 2]']",236.84747825349245
"[2, 1]","[2, 0]","['[2, 1]', '2', '[2, 0]']",180.56096084942914
"[2, 1]","[2, -2]","['[2, 1]', '-1', '[2, -2]']",215.31052199698956
"[2, 2]","[2, -2]","['[2, 2]', '0', '[2, -2]']",218.67063428954822
"[1, -1]","[4, 4]","['[1, -1]', '1', '[4, 2]', '2', '[4, 4]']",339.115288792022
"[2, 1]","[3, 1]","['[2, 1]', '-1', '[3, 1]']",213.71114057390344
"[2, 2]","[4, -3]","['[2, 2]', '0', '[4, -2]', '-1', '[4, -3]']",259.5862266533934
"[2, 1]","[3, 0]","['[2, 1]', '-1', '[3, 0]']",161.43771255665104
"[2, 1]","[3, -2]","['[2, 1]', '-1', '[3, -2]']",175.56945490586935
"[2, 2]","[4, -1]","['[2, 2]', '1', '[4, -1]']",126.25148569942064
"[2, 1]","[1, 0]","['[2, 1]', '2', '[1, 0]']",229.61782708432906
"[2, 1]","[2, -1]","['[2, 1]', '1', '[2, -1]']",238.34176205815712
"[2, 1]","[3, 3]","['[2, 1]', '1', '[3, 3]']",226.59405734476883
"[2, 1]","[3, -1]","['[2, 1]', '-1', '[3, -1]']",161.51324816555675
"[2, 1]","[3, -3]","['[2, 1]', '-1', '[3, -3]']",224.7386880150981
"[2, 1]","[4, 0]","['[2, 1]', '2', '[4, 0]']",181.9444698624913
"[2, 1]","[3, 2]","['[2, 1]', '1', '[3, 2]']",232.66481608802752
"[2, 1]","[4, -3]","['[2, 1]', '-1', '[4, -3]']",140.23665728877313
"[2, 2]","[4, -4]","['[2, 2]', '1', '[2, -1]', '-2', '[4, -4]']",249.11323971597557
"[2, 1]",2,"['[2, 1]', '2']",106.72614342846423
"[2, 1]",1,"['[2, 1]', '1']",174.0093300663025
"[2, 1]",0,"['[2, 1]', '-1', '[4, -2]', '0']",217.62462821921432
"[2, 1]",-1,"['[2, 1]', '-1']",116.18393845427762
"[2, 1]","[4, 4]","['[2, 1]', '2', '[4, 4]']",151.86004342846422
"[2, 1]","[4, 2]","['[2, 1]', '2', '[4, 2]']",152.2792434284642
"[2, 0]","[1, 0]","['[2, 0]', '2', '[1, 0]']",196.72650107682972
"[2, 1]","[4, -1]","['[2, 1]', '1', '[4, -1]']",214.6357800382795
"[2, 0]","[2, 2]","['[2, 0]', '2', '[2, 2]']",203.95615224599314
"[2, 1]","[4, 1]","['[2, 1]', '2', '[4, 1]']",175.46192725299466
"[2, 0]","[2, 1]","['[2, 0]', '2', '[2, 1]']",180.56096084942914
"[2, 0]","[2, -1]","['[2, 0]', '-2', '[2, -1]']",230.18411498483283
"[2, 1]","[4, -2]","['[2, 1]', '-1', '[4, -2]']",188.9628757778428
"[2, 1]",-2,"['[2, 1]', '-1', '[3, -2]', '-2']",223.13859421424232
"[2, 1]","[1, 1]","['[2, 1]', '-1', '[1, 1]']",378.75851782894983
"[2, 0]","[3, 0]","['[2, 0]', '0', '[3, 0]']",177.2114819068075
"[2, 0]","[3, -1]","['[2, 0]', '-1', '[3, -1]']",188.36373941171627
"[2, 0]","[3, -2]","['[2, 0]', '-2', '[3, -2]']",199.59568229652854
"[2, 0]","[3, -3]","['[2, 0]', '-2', '[3, -3]']",191.08364298815556
"[2, 1]","[4, -4]","['[2, 1]', '-1', '[3, -2]', '-2', '[4, -4]']",244.13679421424231
"[2, 1]","[4, 3]","['[2, 1]', '2', '[4, 3]']",140.63284342846424
"[2, 0]","[1, 1]","['[2, 0]', '0', '[1, 1]']",281.19604263904523
"[2, 0]","[3, 2]","['[2, 0]', '0', '[3, 2]']",180.6352793966088
"[2, 0]","[2, -2]","['[2, 0]', '0', '[2, -2]']",200.5551813000056
"[2, 2]","[3, -3]","['[2, 2]', '1', '[2, -1]', '-2', '[3, -3]']",267.17213971597556
"[2, 0]","[4, -1]","['[2, 0]', '0', '[4, -1]']",166.79586143419175
"[2, 0]","[4, -2]","['[2, 0]', '0', '[4, -2]']",144.63911750579007
"[2, 0]","[4, -3]","['[2, 0]', '-1', '[4, -3]']",167.08714853493262
"[2, 0]",2,"['[2, 0]', '2']",73.8348174209649
"[2, 0]","[4, -4]","['[2, 0]', '-2', '[4, -4]']",173.02474298815557
"[2, 0]",0,"['[2, 0]', '0']",115.97736506441856
"[2, 0]",-1,"['[2, 0]', '-1']",143.03442970043713
"[2, 0]",-2,"['[2, 0]', '-2']",152.02654298815557
"[2, 0]",1,"['[2, 0]', '2', '[4, 2]', '1']",174.0117958817354
"[2, 0]","[3, 1]","['[2, 0]', '0', '[3, 1]']",158.54809421904116
"[2, 0]","[4, 4]","['[2, 0]', '2', '[4, 4]']",118.9687174209649
"[2, 1]","[1, -1]","['[2, 1]', '-1', '[1, -1]']",294.40955523786624
"[2, -1]","[1, -1]","['[2, -1]', '-2', '[1, -1]']",249.5873431387683
"[2, -1]","[2, 2]","['[2, -1]', '1', '[2, 2]']",149.95746771929828
