Initial State Final State                                          Path  Effective Pi-Time
       [1, 0]      [2, 0]                           [[1, 0], 2, [2, 0]]         196.726501
       [1, 1]      [4, 2]                           [[1, 1], 1, [4, 2]]         260.111606
       [2, 2]      [4, 4]                           [[2, 2], 2, [4, 4]]         175.255235
       [1, 0]     [1, -1]                         [[1, 0], -2, [1, -1]]         368.027182
       [1, 0]     [2, -1]                         [[1, 0], -2, [2, -1]]         274.754983
       [1, 0]      [2, 1]                           [[1, 0], 2, [2, 1]]         229.617827
       [1, 0]      [2, 2]                           [[1, 0], 2, [2, 2]]         253.013018
       [1, 1]      [2, 1]                          [[1, 1], -1, [2, 1]]         378.758518
       [1, 1]          -1                                  [[1, 1], -1]         262.574579
       [1, 1]      [4, 3]                [[1, 1], 1, [4, 2], 2, [4, 3]]         339.571406
       [1, 0]      [1, 1]                [[1, 0], 2, [4, 2], 1, [1, 1]]         428.556389
       [2, 2]      [3, 1]                           [[2, 2], 0, [3, 1]]         176.663547
       [2, 2]      [3, 2]                           [[2, 2], 1, [3, 2]]         144.280522
       [1, 1]      [2, 2]                           [[1, 1], 1, [2, 2]]         291.112763
       [1, 0]     [2, -2]                         [[1, 0], -2, [2, -2]]         293.047184
       [1, 1]      [3, 0]                           [[1, 1], 0, [3, 0]]         226.452794
       [2, 2]     [2, -1]                          [[2, 2], 1, [2, -1]]         149.957468
       [2, 2]      [2, 0]                           [[2, 2], 2, [2, 0]]         203.956152
       [1, 1]      [2, 0]                           [[1, 1], 0, [2, 0]]         281.196043
       [1, 1]      [3, 3]                           [[1, 1], 1, [3, 3]]         258.072454
       [2, 2]      [2, 1]                           [[2, 2], 2, [2, 1]]         236.847478
       [1, 1]     [2, -1]                          [[1, 1], 1, [2, -1]]         269.820159
       [2, 2]     [1, -1]                          [[2, 2], 1, [1, -1]]         279.429446
       [1, 1]          -2                      [[1, 1], 0, [2, -2], -2]         346.246266
       [2, 2]      [1, 0]                           [[2, 2], 2, [1, 0]]         253.013018
       [1, 0]      [3, 3]                [[1, 0], 2, [4, 2], 1, [3, 3]]         275.653389
       [2, 2]      [1, 1]                           [[2, 2], 1, [1, 1]]         291.112763
      [1, -1]          -2                                 [[1, -1], -2]         171.429771
       [1, 1]     [2, -2]                          [[1, 1], 0, [2, -2]]         249.796494
       [1, 1]     [3, -1]                          [[1, 1], 0, [3, -1]]         300.703796
      [1, -1]          -1                                 [[1, -1], -1]         178.225617
       [1, 1]     [4, -3]                         [[1, 1], -1, [4, -3]]         286.627298
      [1, -1]      [3, 1]                          [[1, -1], 0, [3, 1]]         265.456811
       [1, 0]      [3, 0]                           [[1, 0], 2, [3, 0]]         314.642088
       [1, 1]     [1, -1]                          [[1, 1], 0, [1, -1]]         388.104760
       [1, 0]     [4, -3]            [[1, 0], -2, [3, -2], -1, [4, -3]]         327.604786
       [1, 0]      [3, 2]                [[1, 0], 2, [4, 2], 1, [3, 2]]         281.724148
      [1, -1]           0                                  [[1, -1], 0]         222.886082
      [1, -1]      [3, 2]                          [[1, -1], 1, [3, 2]]         252.459896
       [1, 0]      [3, 1]                [[1, 0], 2, [4, 0], 0, [3, 1]]         308.996534
       [1, 1]     [4, -4]             [[1, 1], 0, [2, -2], -2, [4, -4]]         367.244466
      [1, -1]           1                                  [[1, -1], 1]         193.804410
       [1, 1]     [4, -2]                          [[1, 1], 0, [4, -2]]         193.880430
      [1, -1]      [3, 3]                          [[1, -1], 1, [3, 3]]         246.389138
       [1, 0]      [4, 0]                           [[1, 0], 2, [4, 0]]         198.110010
       [1, 0]     [4, -1]               [[1, 0], 2, [4, 2], 1, [4, -1]]         263.695112
      [1, -1]     [2, -2]                        [[1, -1], -2, [2, -2]]         267.879544
       [1, 1]      [1, 0]                [[1, 1], 1, [4, 2], 2, [1, 0]]         428.556389
      [1, -1]     [4, -4]                        [[1, -1], -2, [4, -4]]         192.427971
       [1, 0]     [4, -2]               [[1, 0], 2, [4, 0], 0, [4, -2]]         295.087558
       [1, 1]      [4, 0]                           [[1, 1], 0, [4, 0]]         233.534473
      [1, -1]     [2, -1]                        [[1, -1], -2, [2, -1]]         249.587343
       [1, 0]     [3, -3]                         [[1, 0], -2, [3, -3]]         235.654511
       [1, 1]      [3, 2]                           [[1, 1], 0, [3, 2]]         229.876592
       [1, 0]      [4, 3]                           [[1, 0], 2, [4, 3]]         156.798384
       [1, 1]           0                                   [[1, 1], 0]         165.218678
      [1, -1]     [4, -3]                        [[1, -1], -1, [4, -3]]         202.278336
      [1, -1]      [2, 0]                         [[1, -1], -1, [2, 0]]         321.260046
       [1, 1]      [3, 1]                           [[1, 1], 0, [3, 1]]         207.789407
      [1, -1]     [4, -2]                        [[1, -1], -1, [4, -2]]         251.004554
       [1, 0]      [4, 1]                           [[1, 0], 2, [4, 1]]         191.627467
      [1, -1]      [2, 1]                         [[1, -1], -1, [2, 1]]         294.409555
      [1, -1]     [4, -1]                         [[1, -1], 1, [4, -1]]         234.430860
      [1, -1]      [2, 2]                          [[1, -1], 1, [2, 2]]         279.429446
      [1, -1]      [1, 0]                         [[1, -1], -2, [1, 0]]         368.027182
       [1, 1]      [4, 1]                           [[1, 1], 1, [4, 1]]         252.283393
      [1, -1]      [4, 1]                          [[1, -1], 1, [4, 1]]         240.600076
       [1, 0]     [3, -1]                         [[1, 0], -2, [3, -1]]         263.097229
      [1, -1]      [1, 1]                          [[1, -1], 0, [1, 1]]         388.104760
       [1, 1]     [4, -1]                          [[1, 1], 0, [4, -1]]         216.037174
      [1, -1]      [4, 2]                          [[1, -1], 1, [4, 2]]         248.428289
       [1, 0]     [3, -2]                         [[1, 0], -2, [3, -2]]         244.166550
       [1, 0]          -2                                  [[1, 0], -2]         196.597411
       [1, 0]      [4, 2]                           [[1, 0], 2, [4, 2]]         168.444784
       [1, 1]           1                                   [[1, 1], 1]         205.487727
      [1, -1]      [4, 3]               [[1, -1], 1, [4, 2], 2, [4, 3]]         327.888089
       [1, 0]          -1                     [[1, 0], -2, [3, -2], -1]         303.552067
       [1, 1]     [3, -2]                         [[1, 1], -1, [3, -2]]         321.960096
       [1, 1]     [3, -3]                         [[1, 1], -1, [3, -3]]         371.129329
       [1, 0]           0                        [[1, 0], 2, [4, 0], 0]         266.425805
      [1, -1]     [3, -3]                        [[1, -1], -2, [3, -3]]         210.486871
       [1, 0]     [4, -4]                         [[1, 0], -2, [4, -4]]         217.595611
       [1, 0]      [4, 4]                           [[1, 0], 2, [4, 4]]         168.025584
       [1, 1]      [4, 4]                [[1, 1], 1, [4, 2], 2, [4, 4]]         350.798606
      [1, -1]     [3, -2]                        [[1, -1], -2, [3, -2]]         218.998910
       [1, 1]           2                        [[1, 1], 1, [4, 2], 2]         305.664706
      [1, -1]     [3, -1]                        [[1, -1], -1, [3, -1]]         223.554926
       [1, 0]           2                                   [[1, 0], 2]         122.891684
      [1, -1]      [3, 0]                         [[1, -1], -1, [3, 0]]         223.479391
       [1, 0]           1                        [[1, 0], 2, [4, 2], 1]         223.068662
       [2, 2]      [3, 0]                           [[2, 2], 0, [3, 0]]         195.326935
       [2, 2]      [4, 1]                           [[2, 2], 1, [4, 1]]         132.420701
       [2, 2]      [4, 0]                           [[2, 2], 1, [4, 0]]         136.031872
      [1, -1]           2                       [[1, -1], 1, [4, 2], 2]         293.981389
       [2, 2]      [3, 3]                           [[2, 2], 1, [3, 3]]         138.209763
       [2, 2]     [4, -2]                          [[2, 2], 0, [4, -2]]         162.754570
       [2, 2]      [4, 2]                           [[2, 2], 1, [4, 2]]         140.248914
       [2, 2]           2                                   [[2, 2], 2]         130.121335
       [2, 2]           1                                   [[2, 2], 1]          85.625036
       [2, 2]           0                                   [[2, 2], 0]         134.092818
       [2, 2]     [3, -2]             [[2, 2], 1, [2, -1], -2, [3, -2]]         275.684179
       [2, 2]          -2                      [[2, 2], 1, [2, -1], -2]         228.115040
      [1, -1]      [4, 0]                          [[1, -1], 1, [4, 0]]         244.211247
       [2, 2]     [3, -1]                          [[2, 2], 1, [3, -1]]         262.224568
       [2, 2]      [4, 3]                           [[2, 2], 2, [4, 3]]         164.028035
       [2, 2]          -1                      [[2, 2], 0, [4, -2], -1]         235.533508
       [2, 1]      [2, 2]                           [[2, 1], 2, [2, 2]]         236.847478
       [2, 1]      [2, 0]                           [[2, 1], 2, [2, 0]]         180.560961
       [2, 1]     [2, -2]                         [[2, 1], -1, [2, -2]]         215.310522
       [2, 2]     [2, -2]                          [[2, 2], 0, [2, -2]]         218.670634
      [1, -1]      [4, 4]               [[1, -1], 1, [4, 2], 2, [4, 4]]         339.115289
       [2, 1]      [3, 1]                          [[2, 1], -1, [3, 1]]         213.711141
       [2, 2]     [4, -3]             [[2, 2], 0, [4, -2], -1, [4, -3]]         259.586227
       [2, 1]      [3, 0]                          [[2, 1], -1, [3, 0]]         161.437713
       [2, 1]     [3, -2]                         [[2, 1], -1, [3, -2]]         175.569455
       [2, 2]     [4, -1]                          [[2, 2], 1, [4, -1]]         126.251486
       [2, 1]      [1, 0]                           [[2, 1], 2, [1, 0]]         229.617827
       [2, 1]     [2, -1]                          [[2, 1], 1, [2, -1]]         238.341762
       [2, 1]      [3, 3]                           [[2, 1], 1, [3, 3]]         226.594057
       [2, 1]     [3, -1]                         [[2, 1], -1, [3, -1]]         161.513248
       [2, 1]     [3, -3]                         [[2, 1], -1, [3, -3]]         224.738688
       [2, 1]      [4, 0]                           [[2, 1], 2, [4, 0]]         181.944470
       [2, 1]      [3, 2]                           [[2, 1], 1, [3, 2]]         232.664816
       [2, 1]     [4, -3]                         [[2, 1], -1, [4, -3]]         140.236657
       [2, 2]     [4, -4]             [[2, 2], 1, [2, -1], -2, [4, -4]]         249.113240
       [2, 1]           2                                   [[2, 1], 2]         106.726143
       [2, 1]           1                                   [[2, 1], 1]         174.009330
       [2, 1]           0                      [[2, 1], -1, [4, -2], 0]         217.624628
       [2, 1]          -1                                  [[2, 1], -1]         116.183938
       [2, 1]      [4, 4]                           [[2, 1], 2, [4, 4]]         151.860043
       [2, 1]      [4, 2]                           [[2, 1], 2, [4, 2]]         152.279243
       [2, 0]      [1, 0]                           [[2, 0], 2, [1, 0]]         196.726501
       [2, 1]     [4, -1]                          [[2, 1], 1, [4, -1]]         214.635780
       [2, 0]      [2, 2]                           [[2, 0], 2, [2, 2]]         203.956152
       [2, 1]      [4, 1]                           [[2, 1], 2, [4, 1]]         175.461927
       [2, 0]      [2, 1]                           [[2, 0], 2, [2, 1]]         180.560961
       [2, 0]     [2, -1]                         [[2, 0], -2, [2, -1]]         230.184115
       [2, 1]     [4, -2]                         [[2, 1], -1, [4, -2]]         188.962876
       [2, 1]          -2                     [[2, 1], -1, [3, -2], -2]         223.138594
       [2, 1]      [1, 1]                          [[2, 1], -1, [1, 1]]         378.758518
       [2, 0]      [3, 0]                           [[2, 0], 0, [3, 0]]         177.211482
       [2, 0]     [3, -1]                         [[2, 0], -1, [3, -1]]         188.363739
       [2, 0]     [3, -2]                         [[2, 0], -2, [3, -2]]         199.595682
       [2, 0]     [3, -3]                         [[2, 0], -2, [3, -3]]         191.083643
       [2, 1]     [4, -4]            [[2, 1], -1, [3, -2], -2, [4, -4]]         244.136794
       [2, 1]      [4, 3]                           [[2, 1], 2, [4, 3]]         140.632843
       [2, 0]      [1, 1]                           [[2, 0], 0, [1, 1]]         281.196043
       [2, 0]      [3, 2]                           [[2, 0], 0, [3, 2]]         180.635279
       [2, 0]     [2, -2]                          [[2, 0], 0, [2, -2]]         200.555181
       [2, 2]     [3, -3]             [[2, 2], 1, [2, -1], -2, [3, -3]]         267.172140
       [2, 0]     [4, -1]                          [[2, 0], 0, [4, -1]]         166.795861
       [2, 0]     [4, -2]                          [[2, 0], 0, [4, -2]]         144.639118
       [2, 0]     [4, -3]                         [[2, 0], -1, [4, -3]]         167.087149
       [2, 0]           2                                   [[2, 0], 2]          73.834817
       [2, 0]     [4, -4]                         [[2, 0], -2, [4, -4]]         173.024743
       [2, 0]           0                                   [[2, 0], 0]         115.977365
       [2, 0]          -1                                  [[2, 0], -1]         143.034430
       [2, 0]          -2                                  [[2, 0], -2]         152.026543
       [2, 0]           1                        [[2, 0], 2, [4, 2], 1]         174.011796
       [2, 0]      [3, 1]                           [[2, 0], 0, [3, 1]]         158.548094
       [2, 0]      [4, 4]                           [[2, 0], 2, [4, 4]]         118.968717
       [2, 1]     [1, -1]                         [[2, 1], -1, [1, -1]]         294.409555
      [2, -1]     [1, -1]                        [[2, -1], -2, [1, -1]]         249.587343
      [2, -1]      [2, 2]                          [[2, -1], 1, [2, 2]]         149.957468
      [2, -1]     [2, -2]                        [[2, -1], -2, [2, -2]]         174.607345
      [2, -1]      [2, 0]                         [[2, -1], -2, [2, 0]]         230.184115
      [2, -1]      [1, 1]                          [[2, -1], 1, [1, 1]]         269.820159
      [2, -1]      [1, 0]                         [[2, -1], -2, [1, 0]]         274.754983
      [2, -1]      [3, 0]              [[2, -1], 1, [4, -1], 0, [3, 0]]         217.011495
      [2, -1]      [2, 1]                          [[2, -1], 1, [2, 1]]         238.341762
      [2, -1]     [3, -1]                        [[2, -1], -2, [3, -1]]         144.657390
      [2, -1]     [3, -3]                        [[2, -1], -2, [3, -3]]         117.214672
      [2, -1]      [3, 2]                          [[2, -1], 1, [3, 2]]         122.987918
      [2, -1]     [3, -2]                        [[2, -1], -2, [3, -2]]         125.726711
      [2, -1]      [3, 1]              [[2, -1], 1, [4, -1], 0, [3, 1]]         198.348107
      [2, -1]      [4, 1]                          [[2, -1], 1, [4, 1]]         111.128098
      [2, -1]      [4, 0]                          [[2, -1], 1, [4, 0]]         114.739269
       [2, 0]     [1, -1]                         [[2, 0], -1, [1, -1]]         321.260046
       [2, 0]      [4, 3]                           [[2, 0], 2, [4, 3]]         107.741517
      [2, -1]      [4, 2]                          [[2, -1], 1, [4, 2]]         118.956310
       [2, 0]      [4, 0]                           [[2, 0], 2, [4, 0]]         149.053144
       [2, 0]      [4, 2]                           [[2, 0], 2, [4, 2]]         119.387917
      [2, -1]           1                                  [[2, -1], 1]          64.332432
      [2, -1]      [3, 3]                          [[2, -1], 1, [3, 3]]         116.917159
      [2, -1]           0                      [[2, -1], 1, [4, -1], 0]         155.777378
      [2, -1]          -2                                 [[2, -1], -2]          78.157572
      [2, -1]          -1                    [[2, -1], -2, [3, -2], -1]         185.112228
      [2, -2]      [1, 1]                          [[2, -2], 0, [1, 1]]         249.796494
      [2, -1]      [4, 3]               [[2, -1], 1, [4, 2], 2, [4, 3]]         198.416110
      [2, -2]      [2, 2]                          [[2, -2], 0, [2, 2]]         218.670634
      [2, -1]     [4, -2]             [[2, -1], 1, [4, -1], 0, [4, -2]]         184.439131
      [2, -2]      [2, 0]                          [[2, -2], 0, [2, 0]]         200.555181
      [2, -2]     [2, -1]                        [[2, -2], -2, [2, -1]]         174.607345
      [2, -1]     [4, -1]                         [[2, -1], 1, [4, -1]]         104.958882
      [2, -1]           2                       [[2, -1], 1, [4, 2], 2]         164.509410
       [2, 0]      [4, 1]                           [[2, 0], 2, [4, 1]]         142.570601
      [2, -2]      [3, 0]                         [[2, -2], -1, [3, 0]]         144.380358
      [2, -1]     [4, -4]                        [[2, -1], -2, [4, -4]]          99.155772
      [2, -2]     [3, -2]                        [[2, -2], -2, [3, -2]]         144.018912
      [2, -2]     [3, -3]                        [[2, -2], -2, [3, -3]]         135.506873
      [2, -2]      [3, 2]                          [[2, -2], 0, [3, 2]]         149.235731
      [2, -1]     [4, -3]           [[2, -1], -2, [3, -2], -1, [4, -3]]         209.164947
      [2, -2]     [1, -1]                        [[2, -2], -2, [1, -1]]         267.879544
      [2, -2]     [3, -1]                        [[2, -2], -1, [3, -1]]         144.455893
      [2, -2]      [3, 1]                          [[2, -2], 0, [3, 1]]         127.148545
      [2, -2]     [4, -1]                         [[2, -2], 0, [4, -1]]         135.396313
      [2, -2]      [2, 1]                         [[2, -2], -1, [2, 1]]         215.310522
      [2, -2]     [4, -2]                         [[2, -2], 0, [4, -2]]         113.239569
      [2, -2]     [4, -4]                        [[2, -2], -2, [4, -4]]         117.447973
      [2, -2]      [1, 0]                         [[2, -2], -2, [1, 0]]         293.047184
      [2, -2]      [4, 0]                          [[2, -2], 0, [4, 0]]         152.893611
      [2, -2]           0                                  [[2, -2], 0]          84.577816
      [2, -2]          -1                                 [[2, -2], -1]          99.126584
      [2, -2]          -2                                 [[2, -2], -2]          96.449773
      [2, -2]           1                      [[2, -2], 0, [4, -1], 1]         176.022763
       [3, 3]      [1, 1]                           [[3, 3], 1, [1, 1]]         258.072454
      [2, -2]     [4, -3]                        [[2, -2], -1, [4, -3]]         123.179302
       [3, 3]     [1, -1]                          [[3, 3], 1, [1, -1]]         246.389138
      [2, -2]      [4, 1]                          [[2, -2], 0, [4, 1]]         218.406068
      [2, -2]           2                       [[2, -2], 0, [4, 0], 2]         228.111938
       [3, 3]     [2, -1]                          [[3, 3], 1, [2, -1]]         116.917159
       [3, 3]      [2, 2]                           [[3, 3], 1, [2, 2]]         138.209763
       [3, 3]      [3, 2]                           [[3, 3], 1, [3, 2]]         111.240213
       [3, 3]      [3, 1]               [[3, 3], 1, [4, -1], 0, [3, 1]]         186.600403
       [3, 3]      [1, 0]                [[3, 3], 1, [4, 2], 2, [1, 0]]         275.653389
       [3, 3]     [3, -1]                          [[3, 3], 1, [3, -1]]         229.184259
       [2, 0]      [3, 3]                [[2, 0], 2, [4, 2], 1, [3, 3]]         226.596523
       [3, 3]      [2, 1]                           [[3, 3], 1, [2, 1]]         226.594057
      [2, -2]      [4, 4]               [[2, -2], 0, [4, 0], 2, [4, 4]]         273.245838
       [3, 3]      [4, 3]                [[3, 3], 1, [4, 2], 2, [4, 3]]         186.668406
       [3, 3]      [4, 2]                           [[3, 3], 1, [4, 2]]         107.208606
       [3, 3]      [4, 1]                           [[3, 3], 1, [4, 1]]          99.380393
       [3, 3]     [2, -2]              [[3, 3], 1, [4, -1], 0, [2, -2]]         228.607490
       [3, 3]      [2, 0]                [[3, 3], 1, [4, 2], 2, [2, 0]]         226.596523
       [3, 3]      [3, 0]               [[3, 3], 1, [4, -1], 0, [3, 0]]         205.263790
      [2, -2]      [4, 2]              [[2, -2], 0, [4, -1], 1, [4, 2]]         230.646641
