Initial State,Final State,Path,Effective Pi-Time
"[1, 1]","[1, 0]","['[1, 1]', '1', '[4, 2]', '2', '[1, 0]']",437.985579316204
"[1, 1]","[2, 0]","['[1, 1]', '0', '[2, 0]']",290.16863389059256
"[1, 1]","[3, 0]","['[1, 1]', '0', '[3, 0]']",235.06982611874056
"[1, 1]","[2, 2]","['[1, 1]', '1', '[2, 2]']",296.56410170359516
"[1, 1]","[1, -1]","['[1, 1]', '0', '[1, -1]']",407.433090909091
"[1, 1]","[2, 1]","['[1, 1]', '-1', '[2, 1]']",363.01959098589504
"[1, 1]","[2, -1]","['[1, 1]', '1', '[2, -1]']",273.723972329966
"[1, 1]","[2, -2]","['[1, 1]', '0', '[2, -2]']",261.64890171990174
"[1, 1]","[3, 1]","['[1, 1]', '0', '[3, 1]']",218.156678731105
"[1, 1]","[3, 3]","['[1, 1]', '1', '[3, 3]']",257.01747686731096
"[1, 1]","[3, 2]","['[1, 1]', '0', '[3, 2]']",235.40437937062939
"[1, 1]","[3, -1]","['[1, 1]', '-1', '[3, -1]']",297.3190504928555
"[1, 1]","[3, -3]","['[1, 1]', '-1', '[3, -3]']",364.91658033518047
"[1, 1]","[4, 2]","['[1, 1]', '1', '[4, 2]']",263.97792574477546
"[1, 1]","[4, 1]","['[1, 1]', '1', '[4, 1]']",253.72079026831165
"[1, 1]","[4, 0]","['[1, 1]', '0', '[4, 0]']",242.21709090909093
"[1, 1]","[3, -2]","['[1, 1]', '-1', '[3, -2]']",314.074197622533
"[1, 1]","[4, 3]","['[1, 1]', '1', '[4, 2]', '2', '[4, 3]']",345.4099257447755
"[1, 1]","[4, -1]","['[1, 1]', '0', '[4, -1]']",226.84922683142105
"[1, 1]",1,"['[1, 1]', '1']",206.641387283237
"[1, 1]",0,"['[1, 1]', '0']",173.46909090909094
"[1, 1]",-2,"['[1, 1]', '1', '[2, -1]', '-2']",355.7600858295361
"[1, 1]","[4, -2]","['[1, 1]', '0', '[4, -2]']",203.36428707735416
"[1, 1]",2,"['[1, 1]', '1', '[4, 2]', '2']",309.80992574477546
"[1, 1]",-1,"['[1, 1]', '-1']",251.70149200710478
"[1, 1]","[4, -3]","['[1, 1]', '-1', '[4, -3]']",276.78128445993497
"[1, 0]","[2, 2]","['[1, 0]', '2', '[2, 2]']",259.12422499999997
"[1, 0]","[1, -1]","['[1, 0]', '-2', '[1, -1]']",368.20624971810867
"[1, 1]","[4, -4]","['[1, 1]', '1', '[2, -1]', '-2', '[4, -4]']",377.6570858295361
"[1, 0]","[2, 1]","['[1, 0]', '2', '[2, 1]']",240.26849760812578
"[1, 0]","[2, 0]","['[1, 0]', '2', '[2, 0]']",205.19106773451864
"[1, 0]","[2, -1]","['[1, 0]', '-2', '[2, -1]']",270.2272688780561
"[1, 0]","[3, 2]","['[1, 0]', '2', '[4, 2]', '1', '[3, 2]']",292.9374780239289
"[1, 0]","[3, 1]","['[1, 0]', '2', '[4, 0]', '0', '[3, 1]']",320.05754303278684
"[1, 0]","[3, 3]","['[1, 0]', '2', '[4, 2]', '1', '[3, 3]']",281.72028161704094
"[1, 0]","[2, -2]","['[1, 0]', '-2', '[2, -2]']",285.247155378486
"[1, 0]","[3, -1]","['[1, 0]', '-2', '[3, -1]']",257.98486422998565
"[1, 0]","[3, 0]","['[1, 0]', '2', '[3, 0]']",328.1153917329884
"[1, 0]","[3, -2]","['[1, 0]', '-2', '[3, -2]']",236.04786220579527
"[1, 0]","[4, 1]","['[1, 0]', '2', '[4, 1]']",200.3772819364975
"[1, 0]","[4, 0]","['[1, 0]', '2', '[4, 0]']",206.6219552107728
"[1, 0]","[3, -3]","['[1, 0]', '-2', '[3, -3]']",229.22215537848604
"[1, 0]","[4, 3]","['[1, 0]', '2', '[4, 3]']",163.77565357142853
"[1, 0]","[4, 2]","['[1, 0]', '2', '[4, 2]']",174.00765357142853
"[1, 0]",2,"['[1, 0]', '2']",128.17565357142854
"[1, 0]","[4, -1]","['[1, 0]', '2', '[4, 2]', '1', '[4, -1]']",273.71630891608385
"[1, 0]","[4, 4]","['[1, 0]', '2', '[4, 4]']",171.40565357142853
"[1, 0]",1,"['[1, 0]', '2', '[4, 2]', '1']",231.344192032967
"[1, 0]",-2,"['[1, 0]', '-2']",188.19115537848603
"[1, 0]",0,"['[1, 0]', '2', '[4, 0]', '0']",275.3699552107728
"[1, 0]",-1,"['[1, 0]', '-2', '[3, -2]', '-1']",298.42056782122353
"[1, 0]","[4, -2]","['[1, 0]', '2', '[4, 0]', '0', '[4, -2]']",305.265151379036
"[1, 0]","[4, -3]","['[1, 0]', '-2', '[3, -2]', '-1', '[4, -3]']",323.5003602740537
"[1, -1]","[2, 0]","['[1, -1]', '-2', '[2, 0]']",325.6553204444531
"[1, -1]","[2, 2]","['[1, -1]', '1', '[2, 2]']",292.1152947020483
"[1, -1]","[2, 1]","['[1, -1]', '-1', '[2, 1]']",290.66070767444245
"[1, -1]","[2, -1]","['[1, -1]', '-2', '[2, -1]']",262.0512078391927
"[1, -1]","[3, 1]","['[1, -1]', '-1', '[3, 1]']",272.7558848986845
"[1, -1]","[3, 2]","['[1, -1]', '1', '[3, 2]']",263.7858662726521
"[1, 0]","[4, -4]","['[1, 0]', '-2', '[4, -4]']",210.08815537848602
"[1, -1]","[2, -2]","['[1, -1]', '-2', '[2, -2]']",277.0710943396227
