Initial State Final State                                Path  Effective Pi-Time
       [1, 1]      [4, 2]                 [[1, 1], 1, [4, 2]]         263.977926
      [4, -2]          -2          [[4, -2], -1, [3, -2], -2]         186.698870
       [2, 1]     [3, -3]               [[2, 1], -1, [3, -3]]         224.533187
      [2, -2]      [4, 4]     [[2, -2], 0, [2, 0], 2, [4, 4]]         325.124768
       [1, 1]     [4, -2]                [[1, 1], 0, [4, -2]]         203.364287
      [4, -2]          -1                       [[4, -2], -1]          76.469458
       [1, 1]     [4, -1]                [[1, 1], 0, [4, -1]]         226.849227
       [2, 1]     [3, -2]               [[2, 1], -1, [3, -2]]         173.690805
      [2, -2]     [3, -3]              [[2, -2], -2, [3, -3]]         138.087000
       [1, 1]     [3, -1]               [[1, 1], -1, [3, -1]]         297.319050
      [4, -2]           0                        [[4, -2], 0]          29.895196
       [2, 1]     [3, -1]               [[2, 1], -1, [3, -1]]         156.935657
      [2, -2]     [3, -2]              [[2, -2], -2, [3, -2]]         144.912707
      [4, -2]           1           [[4, -2], -1, [4, -1], 1]         299.696347
       [1, 1]     [1, -1]                [[1, 1], 0, [1, -1]]         407.433091
       [2, 1]      [3, 0]                [[2, 1], -1, [3, 0]]         158.832043
       [1, 1]      [4, 0]                 [[1, 1], 0, [4, 0]]         242.217091
      [2, -2]     [3, -1]              [[2, -2], -1, [3, -1]]         149.749263
      [4, -2]           2             [[4, -2], 0, [2, 0], 2]         223.610153
       [2, 1]      [3, 1]                [[2, 1], -1, [3, 1]]         204.731375
      [2, -2]      [3, 0]                [[2, -2], 0, [3, 0]]         149.780546
       [1, 1]      [3, 1]                 [[1, 1], 0, [3, 1]]         218.156679
      [4, -2]     [4, -4] [[4, -2], -1, [3, -2], -2, [4, -4]]         208.595870
       [2, 1]      [3, 2]                 [[2, 1], 1, [3, 2]]         236.547413
      [2, -2]      [3, 1]                [[2, -2], 0, [3, 1]]         132.867399
      [4, -2]     [4, -3]              [[4, -2], -1, [4, -3]]         101.549250
       [2, 1]      [3, 3]                 [[2, 1], 1, [3, 3]]         225.330217
      [2, -2]      [3, 2]                [[2, -2], 0, [3, 2]]         150.115099
      [4, -1]          -2           [[4, -1], 0, [2, -2], -2]         238.615947
       [2, 1]     [2, -2]               [[2, 1], -1, [2, -2]]         215.449804
      [2, -2]      [3, 3]   [[2, -2], -2, [2, -1], 1, [3, 3]]         296.550788
      [4, -1]          -1                       [[4, -1], -1]         180.854772
       [2, 1]     [2, -1]                [[2, 1], 1, [2, -1]]         242.036712
      [2, -1]          -2                       [[2, -1], -2]          82.036113
      [4, -1]           0                        [[4, -1], 0]          53.380136
       [2, 1]      [2, 0]                 [[2, 1], 2, [2, 0]]         189.108258
      [2, -1]          -1          [[2, -1], -2, [3, -2], -1]         192.265526
       [1, 1]     [4, -3]               [[1, 1], -1, [4, -3]]         276.781284
      [4, -1]           1                        [[4, -1], 1]          42.372117
       [2, 2]          -2            [[2, 2], 1, [2, -1], -2]         239.041413
      [2, -1]           0                        [[2, -1], 0]         191.240139
       [1, 0]     [2, -2]               [[1, 0], -2, [2, -2]]         285.247155
      [4, -1]           2             [[4, -1], 0, [2, 0], 2]         247.095093
       [2, 2]          -1            [[2, 2], 0, [4, -2], -1]         234.839667
      [2, -1]           1                        [[2, -1], 1]          67.082585
