Total number of initial group guesses: 100. 

1 Cost = 161.17805120142933
1 Group Members: 
[[ 0  1]
 [ 0  0]
 [ 2  0]
 [ 4  2]
 [ 4  1]
 [ 3  1]
 [ 2  2]
 [ 4  3]
 [ 4  4]
 [ 3  0]
 [ 4 -1]
 [ 0  2]
 [ 4 -2]
 [ 3  2]
 [ 4  0]] 

1 Group Paths: 
Initial State Final State                                       Path  Effective Pi-Time
            1           0                      ['1', '[4, -1]', '0']          91.444946
            1      [2, 0]             ['1', '[4, 2]', '2', '[2, 0]']         174.011796
            1      [4, 2]                            ['1', '[4, 2]']          54.623878
            1      [4, 1]                            ['1', '[4, 1]']          46.795666
            1      [3, 1]            ['1', '[4, -1]', '0', '[3, 1]']         134.015675
            1      [2, 2]                            ['1', '[2, 2]']          85.625036
            1      [4, 3]             ['1', '[4, 2]', '2', '[4, 3]']         134.083678
            1      [4, 4]             ['1', '[4, 2]', '2', '[4, 4]']         145.310878
            1      [3, 0]            ['1', '[4, -1]', '0', '[3, 0]']         152.679063
            1     [4, -1]                           ['1', '[4, -1]']          40.626450
            1           2                       ['1', '[4, 2]', '2']         100.176978
            1     [4, -2]           ['1', '[4, -1]', '0', '[4, -2]']         120.106699
            1      [3, 2]                            ['1', '[3, 2]']          58.655486
            1      [4, 0]                            ['1', '[4, 0]']          50.406837
            0           1                      ['0', '[4, -1]', '1']          91.444946
            0      [2, 0]                            ['0', '[2, 0]']         115.977365
            0      [4, 2]            ['0', '[4, -1]', '1', '[4, 2]']         146.068825
            0      [4, 1]                            ['0', '[4, 1]']         133.828252
            0      [3, 1]                            ['0', '[3, 1]']          42.570729
            0      [2, 2]                            ['0', '[2, 2]']         134.092818
            0      [4, 3]             ['0', '[4, 0]', '2', '[4, 3]']         177.440822
            0      [4, 4]             ['0', '[4, 0]', '2', '[4, 4]']         188.668022
            0      [3, 0]                            ['0', '[3, 0]']          61.234117
            0     [4, -1]                           ['0', '[4, -1]']          50.818496
            0           2                       ['0', '[4, 0]', '2']         143.534122
            0     [4, -2]                           ['0', '[4, -2]']          28.661752
            0      [3, 2]                            ['0', '[3, 2]']          64.657914
            0      [4, 0]                            ['0', '[4, 0]']          68.315795
       [2, 0]           1             ['[2, 0]', '2', '[4, 2]', '1']         174.011796
       [2, 0]           0                            ['[2, 0]', '0']         115.977365
       [2, 0]      [4, 2]                  ['[2, 0]', '2', '[4, 2]']         119.387917
       [2, 0]      [4, 1]                  ['[2, 0]', '2', '[4, 1]']         142.570601
       [2, 0]      [3, 1]                  ['[2, 0]', '0', '[3, 1]']         158.548094
       [2, 0]      [2, 2]                  ['[2, 0]', '2', '[2, 2]']         203.956152
       [2, 0]      [4, 3]                  ['[2, 0]', '2', '[4, 3]']         107.741517
       [2, 0]      [4, 4]                  ['[2, 0]', '2', '[4, 4]']         118.968717
       [2, 0]      [3, 0]                  ['[2, 0]', '0', '[3, 0]']         177.211482
       [2, 0]     [4, -1]                 ['[2, 0]', '0', '[4, -1]']         166.795861
       [2, 0]           2                            ['[2, 0]', '2']          73.834817
       [2, 0]     [4, -2]                 ['[2, 0]', '0', '[4, -2]']         144.639118
       [2, 0]      [3, 2]                  ['[2, 0]', '0', '[3, 2]']         180.635279
       [2, 0]      [4, 0]                  ['[2, 0]', '2', '[4, 0]']         149.053144
       [4, 2]           1                            ['[4, 2]', '1']          54.623878
       [4, 2]           0            ['[4, 2]', '1', '[4, -1]', '0']         146.068825
       [4, 2]      [2, 0]                  ['[4, 2]', '2', '[2, 0]']         119.387917
       [4, 2]      [4, 1]                  ['[4, 2]', '1', '[4, 1]']         101.419544
       [4, 2]      [3, 1]  ['[4, 2]', '1', '[4, -1]', '0', '[3, 1]']         188.639554
       [4, 2]      [2, 2]                  ['[4, 2]', '1', '[2, 2]']         140.248914
       [4, 2]      [4, 3]                  ['[4, 2]', '2', '[4, 3]']          79.459800
       [4, 2]      [4, 4]                  ['[4, 2]', '2', '[4, 4]']          90.687000
       [4, 2]      [3, 0]  ['[4, 2]', '1', '[4, -1]', '0', '[3, 0]']         207.302942
       [4, 2]     [4, -1]                 ['[4, 2]', '1', '[4, -1]']          95.250328
       [4, 2]           2                            ['[4, 2]', '2']          45.553100
       [4, 2]     [4, -2] ['[4, 2]', '1', '[4, -1]', '0', '[4, -2]']         174.730577
       [4, 2]      [3, 2]                  ['[4, 2]', '1', '[3, 2]']         113.279364
       [4, 2]      [4, 0]                  ['[4, 2]', '1', '[4, 0]']         105.030715
       [4, 1]           1                            ['[4, 1]', '1']          46.795666
       [4, 1]           0                            ['[4, 1]', '0']         133.828252
       [4, 1]      [2, 0]                  ['[4, 1]', '2', '[2, 0]']         142.570601
       [4, 1]      [4, 2]                  ['[4, 1]', '1', '[4, 2]']         101.419544
       [4, 1]      [3, 1]                  ['[4, 1]', '0', '[3, 1]']         176.398981
       [4, 1]      [2, 2]                  ['[4, 1]', '1', '[2, 2]']         132.420701
       [4, 1]      [4, 3]                  ['[4, 1]', '2', '[4, 3]']         102.642484
       [4, 1]      [4, 4]                  ['[4, 1]', '2', '[4, 4]']         113.869684
       [4, 1]      [3, 0]                  ['[4, 1]', '0', '[3, 0]']         195.062369
       [4, 1]     [4, -1]                 ['[4, 1]', '1', '[4, -1]']          87.422116
       [4, 1]           2                            ['[4, 1]', '2']          68.735784
       [4, 1]     [4, -2]                 ['[4, 1]', '0', '[4, -2]']         162.490005
       [4, 1]      [3, 2]                  ['[4, 1]', '1', '[3, 2]']         105.451152
       [4, 1]      [4, 0]                  ['[4, 1]', '1', '[4, 0]']          97.202502
       [3, 1]           1            ['[3, 1]', '0', '[4, -1]', '1']         134.015675
       [3, 1]           0                            ['[3, 1]', '0']          42.570729
       [3, 1]      [2, 0]                  ['[3, 1]', '0', '[2, 0]']         158.548094
       [3, 1]      [4, 2]  ['[3, 1]', '0', '[4, -1]', '1', '[4, 2]']         188.639554
       [3, 1]      [4, 1]                  ['[3, 1]', '0', '[4, 1]']         176.398981
       [3, 1]      [2, 2]                  ['[3, 1]', '0', '[2, 2]']         176.663547
       [3, 1]      [4, 3]   ['[3, 1]', '0', '[4, 0]', '2', '[4, 3]']         220.011551
       [3, 1]      [4, 4]   ['[3, 1]', '0', '[4, 0]', '2', '[4, 4]']         231.238751
       [3, 1]      [3, 0]                  ['[3, 1]', '0', '[3, 0]']         103.804846
       [3, 1]     [4, -1]                 ['[3, 1]', '0', '[4, -1]']          93.389226
       [3, 1]           2             ['[3, 1]', '0', '[4, 0]', '2']         186.104851
       [3, 1]     [4, -2]                 ['[3, 1]', '0', '[4, -2]']          71.232482
       [3, 1]      [3, 2]                  ['[3, 1]', '0', '[3, 2]']         107.228643
       [3, 1]      [4, 0]                  ['[3, 1]', '0', '[4, 0]']         110.886524
       [2, 2]           1                            ['[2, 2]', '1']          85.625036
       [2, 2]           0                            ['[2, 2]', '0']         134.092818
       [2, 2]      [2, 0]                  ['[2, 2]', '2', '[2, 0]']         203.956152
       [2, 2]      [4, 2]                  ['[2, 2]', '1', '[4, 2]']         140.248914
       [2, 2]      [4, 1]                  ['[2, 2]', '1', '[4, 1]']         132.420701
       [2, 2]      [3, 1]                  ['[2, 2]', '0', '[3, 1]']         176.663547
       [2, 2]      [4, 3]                  ['[2, 2]', '2', '[4, 3]']         164.028035
       [2, 2]      [4, 4]                  ['[2, 2]', '2', '[4, 4]']         175.255235
