Total number of initial group guesses: 100. 

1 Cost = 889.4163603093377
1 Group Members: 
[[ 4  1]
 [ 2 -1]
 [ 4 -1]
 [ 3  1]
 [ 4 -4]
 [ 3 -2]
 [ 3  2]
 [ 4  0]
 [ 4 -3]
 [ 3  0]
 [ 4  2]
 [ 3 -3]
 [ 1 -1]
 [ 3 -1]
 [ 2 -2]
 [ 4 -2]] 

1 Group Paths: 
Initial State Final State                                                        Path  Effective Pi-Time
       [4, 1]     [2, -1]                                  ['[4, 1]', '1', '[2, -1]']         111.128098
       [4, 1]     [4, -1]                                  ['[4, 1]', '1', '[4, -1]']          87.422116
       [4, 1]      [3, 1]                                   ['[4, 1]', '0', '[3, 1]']         176.398981
       [4, 1]     [4, -4]                 ['[4, 1]', '1', '[2, -1]', '-2', '[4, -4]']         210.283870
       [4, 1]     [3, -2]                 ['[4, 1]', '1', '[2, -1]', '-2', '[3, -2]']         236.854809
       [4, 1]      [3, 2]                                   ['[4, 1]', '1', '[3, 2]']         105.451152
       [4, 1]      [4, 0]                                   ['[4, 1]', '1', '[4, 0]']          97.202502
       [4, 1]     [4, -3]                 ['[4, 1]', '0', '[4, -2]', '-1', '[4, -3]']         259.321661
       [4, 1]      [3, 0]                                   ['[4, 1]', '0', '[3, 0]']         195.062369
       [4, 1]      [4, 2]                                   ['[4, 1]', '1', '[4, 2]']         101.419544
       [4, 1]     [3, -3]                 ['[4, 1]', '1', '[2, -1]', '-2', '[3, -3]']         228.342770
       [4, 1]     [1, -1]                                  ['[4, 1]', '1', '[1, -1]']         240.600076
       [4, 1]     [3, -1]                                  ['[4, 1]', '1', '[3, -1]']         223.395198
       [4, 1]     [2, -2]                                  ['[4, 1]', '0', '[2, -2]']         218.406068
       [4, 1]     [4, -2]                                  ['[4, 1]', '0', '[4, -2]']         162.490005
      [2, -1]      [4, 1]                                  ['[2, -1]', '1', '[4, 1]']         111.128098
      [2, -1]     [4, -1]                                 ['[2, -1]', '1', '[4, -1]']         104.958882
      [2, -1]      [3, 1]                  ['[2, -1]', '1', '[4, -1]', '0', '[3, 1]']         198.348107
      [2, -1]     [4, -4]                                ['[2, -1]', '-2', '[4, -4]']          99.155772
      [2, -1]     [3, -2]                                ['[2, -1]', '-2', '[3, -2]']         125.726711
      [2, -1]      [3, 2]                                  ['[2, -1]', '1', '[3, 2]']         122.987918
      [2, -1]      [4, 0]                                  ['[2, -1]', '1', '[4, 0]']         114.739269
      [2, -1]     [4, -3]               ['[2, -1]', '-2', '[3, -2]', '-1', '[4, -3]']         209.164947
      [2, -1]      [3, 0]                  ['[2, -1]', '1', '[4, -1]', '0', '[3, 0]']         217.011495
      [2, -1]      [4, 2]                                  ['[2, -1]', '1', '[4, 2]']         118.956310
      [2, -1]     [3, -3]                                ['[2, -1]', '-2', '[3, -3]']         117.214672
      [2, -1]     [1, -1]                                ['[2, -1]', '-2', '[1, -1]']         249.587343
      [2, -1]     [3, -1]                                ['[2, -1]', '-2', '[3, -1]']         144.657390
      [2, -1]     [2, -2]                                ['[2, -1]', '-2', '[2, -2]']         174.607345
      [2, -1]     [4, -2]                 ['[2, -1]', '1', '[4, -1]', '0', '[4, -2]']         184.439131
      [4, -1]      [4, 1]                                  ['[4, -1]', '1', '[4, 1]']          87.422116
      [4, -1]     [2, -1]                                 ['[4, -1]', '1', '[2, -1]']         104.958882
      [4, -1]      [3, 1]                                  ['[4, -1]', '0', '[3, 1]']          93.389226
      [4, -1]     [4, -4]                ['[4, -1]', '1', '[2, -1]', '-2', '[4, -4]']         204.114654
      [4, -1]     [3, -2]                ['[4, -1]', '0', '[4, -2]', '-1', '[3, -2]']         211.644703
      [4, -1]      [3, 2]                                  ['[4, -1]', '1', '[3, 2]']          99.281936
      [4, -1]      [4, 0]                                  ['[4, -1]', '1', '[4, 0]']          91.033287
      [4, -1]     [4, -3]                ['[4, -1]', '0', '[4, -2]', '-1', '[4, -3]']         176.311905
      [4, -1]      [3, 0]                                  ['[4, -1]', '0', '[3, 0]']         112.052613
      [4, -1]      [4, 2]                                  ['[4, -1]', '1', '[4, 2]']          95.250328
      [4, -1]     [3, -3]                ['[4, -1]', '1', '[2, -1]', '-2', '[3, -3]']         222.173554
      [4, -1]     [1, -1]                                 ['[4, -1]', '1', '[1, -1]']         234.430860
      [4, -1]     [3, -1]                                 ['[4, -1]', '0', '[3, -1]']         186.303614
      [4, -1]     [2, -2]                                 ['[4, -1]', '0', '[2, -2]']         135.396313
      [4, -1]     [4, -2]                                 ['[4, -1]', '0', '[4, -2]']          79.480249
       [3, 1]      [4, 1]                                   ['[3, 1]', '0', '[4, 1]']         176.398981
       [3, 1]     [2, -1]                  ['[3, 1]', '0', '[4, -1]', '1', '[2, -1]']         198.348107
       [3, 1]     [4, -1]                                  ['[3, 1]', '0', '[4, -1]']          93.389226
       [3, 1]     [4, -4]                ['[3, 1]', '-1', '[3, -2]', '-2', '[4, -4]']         225.480058
       [3, 1]     [3, -2]                                 ['[3, 1]', '-1', '[3, -2]']         156.912719
       [3, 1]      [3, 2]                                   ['[3, 1]', '0', '[3, 2]']         107.228643
       [3, 1]      [4, 0]                                   ['[3, 1]', '0', '[4, 0]']         110.886524
       [3, 1]     [4, -3]                                 ['[3, 1]', '-1', '[4, -3]']         121.579921
       [3, 1]      [3, 0]                                   ['[3, 1]', '0', '[3, 0]']         103.804846
       [3, 1]      [4, 2]                   ['[3, 1]', '0', '[4, -1]', '1', '[4, 2]']         188.639554
       [3, 1]     [3, -3]                                 ['[3, 1]', '-1', '[3, -3]']         206.081952
       [3, 1]     [1, -1]                                  ['[3, 1]', '0', '[1, -1]']         265.456811
       [3, 1]     [3, -1]                                 ['[3, 1]', '-1', '[3, -1]']         142.856512
       [3, 1]     [2, -2]                                  ['[3, 1]', '0', '[2, -2]']         127.148545
       [3, 1]     [4, -2]                                  ['[3, 1]', '0', '[4, -2]']          71.232482
      [4, -4]      [4, 1]                 ['[4, -4]', '-2', '[2, -1]', '1', '[4, 1]']         210.283870
      [4, -4]     [2, -1]                                ['[4, -4]', '-2', '[2, -1]']          99.155772
      [4, -4]     [4, -1]                ['[4, -4]', '-2', '[2, -1]', '1', '[4, -1]']         204.114654
      [4, -4]      [3, 1]                ['[4, -4]', '-2', '[3, -2]', '-1', '[3, 1]']         225.480058
      [4, -4]     [3, -2]                                ['[4, -4]', '-2', '[3, -2]']          68.567339
      [4, -4]      [3, 2]                 ['[4, -4]', '-2', '[2, -1]', '1', '[3, 2]']         222.143690
      [4, -4]      [4, 0]                 ['[4, -4]', '-2', '[2, -1]', '1', '[4, 0]']         213.895041
      [4, -4]     [4, -3]               ['[4, -4]', '-2', '[3, -2]', '-1', '[4, -3]']         152.005575
      [4, -4]      [3, 0]                ['[4, -4]', '-2', '[3, -2]', '-1', '[3, 0]']         173.206630
      [4, -4]      [4, 2]                 ['[4, -4]', '-2', '[2, -1]', '1', '[4, 2]']         218.112082
      [4, -4]     [3, -3]                                ['[4, -4]', '-2', '[3, -3]']          60.055300
      [4, -4]     [1, -1]                                ['[4, -4]', '-2', '[1, -1]']         192.427971
      [4, -4]     [3, -1]                                ['[4, -4]', '-2', '[3, -1]']          87.498018
      [4, -4]     [2, -2]                                ['[4, -4]', '-2', '[2, -2]']         117.447973
      [4, -4]     [4, -2]               ['[4, -4]', '-2', '[3, -2]', '-1', '[4, -2]']         200.731793
      [3, -2]      [4, 1]                 ['[3, -2]', '-2', '[2, -1]', '1', '[4, 1]']         236.854809
      [3, -2]     [2, -1]                                ['[3, -2]', '-2', '[2, -1]']         125.726711
      [3, -2]     [4, -1]                ['[3, -2]', '-1', '[4, -2]', '0', '[4, -1]']         211.644703
      [3, -2]      [3, 1]                                 ['[3, -2]', '-1', '[3, 1]']         156.912719
      [3, -2]     [4, -4]                                ['[3, -2]', '-2', '[4, -4]']          68.567339
      [3, -2]      [3, 2]                 ['[3, -2]', '-1', '[4, -2]', '0', '[3, 2]']         225.484121
      [3, -2]      [4, 0]                 ['[3, -2]', '-1', '[4, -2]', '0', '[4, 0]']         229.142001
      [3, -2]     [4, -3]                                ['[3, -2]', '-1', '[4, -3]']          83.438235
      [3, -2]      [3, 0]                                 ['[3, -2]', '-1', '[3, 0]']         104.639291
      [3, -2]      [4, 2]                 ['[3, -2]', '-2', '[2, -1]', '1', '[4, 2]']         244.683022
      [3, -2]     [3, -3]                                ['[3, -2]', '-2', '[3, -3]']          86.626239
      [3, -2]     [1, -1]                                ['[3, -2]', '-2', '[1, -1]']         218.998910
      [3, -2]     [3, -1]                                ['[3, -2]', '-1', '[3, -1]']         104.714826
      [3, -2]     [2, -2]                                ['[3, -2]', '-2', '[2, -2]']         144.018912
      [3, -2]     [4, -2]                                ['[3, -2]', '-1', '[4, -2]']         132.164454
       [3, 2]      [4, 1]                                   ['[3, 2]', '1', '[4, 1]']         105.451152
       [3, 2]     [2, -1]                                  ['[3, 2]', '1', '[2, -1]']         122.987918
       [3, 2]     [4, -1]                                  ['[3, 2]', '1', '[4, -1]']          99.281936
