545.8479, 95.637, [0, 2, 0]
623.662116, 21.166, [-1, 4, -3]
621.012207, 19.168, [-2, 4, -4]
621.012057, 19.015, [-2, 4, -4]
621.012144, 19.257, [-2, 4, -4]
621.011938, 18.938, [-2, 4, -4]
621.012158, 19.17, [-2, 4, -4]
621.01201, 19.116, [-2, 4, -4]
621.012044, 19.074, [-2, 4, -4]
621.011674, 19.17, [-2, 4, -4]
621.011788, 19.223, [-2, 4, -4]
621.011881, 19.201, [-2, 4, -4]
621.011621, 18.9, [-2, 4, -4]
621.011488, 19.015, [-2, 4, -4]
621.011734, 18.611, [-2, 4, -4]
621.011794, 18.85, [-2, 4, -4]
621.011926, 18.802, [-2, 4, -4]
621.011838, 18.472, [-2, 4, -4]
621.011677, 18.508, [-2, 4, -4]
621.011862, 19.511, [-2, 4, -4]
621.011829, 18.668, [-2, 4, -4]
621.011951, 18.626, [-2, 4, -4]
