620.710672, 16.015, [-2, 4, -4]
623.352384, 24.371, [-1, 4, -3]
622.818414, 28.597, [0, 4, -2]
604.070661, 29.385, [2, 4, 3]
613.454395, 45.656, [-2, 3, -3]
621.671485, 46.533, [1, 4, -1]
597.192355, 48.504, [2, 4, 4]
599.328554, 41.136, [0, 3, 1]
605.804919, 35.876, [-1, 3, -1]
609.875833, 43.947, [2, 4, 2]
612.239997, 430.367, [1, 4, 1]
600.983768, 30.927, [-1, 3, 0]
607.942566, 58.083, [-2, 3, -2]
593.928273, 39.533, [1, 3, 3]
617.147377, 42.216, [1, 4, 0]
618.729653, 48.799, [0, 4, -1]
606.936718, 52.813, [1, 4, 2]
597.917711, 63.136, [1, 3, 2]
603.927474, 53.355, [0, 3, 0]
594.976529, 63.289, [0, 3, 2]
610.88812, 63.256, [-1, 3, -2]
554.92493, 73.961, [1, 2, -1]
