463.985846, 10971.419, [1, 1, 1]
488.601713, 284.906, [1, 1, -1]
609.806308, 146.062, [2, 3, 0]
551.981343, 145.378, [0, 2, -1]
467.287674, 191.056, [-2, 1, 0]
598.037842, 186.148, [-2, 3, 0]
611.687616, 142.484, [1, 3, -1]
615.783907, 153.145, [-1, 4, -1]
479.772201, 127.378, [-2, 1, -1]
482.717629, 1289.104, [-1, 1, -1]
541.924382, 163.099, [1, 2, 1]
461.045045, 225.742, [0, 1, 1]
601.130578, 203.223, [1, 4, 3]
602.268984, 330.015, [1, 3, 1]
542.635408, 138.475, [-1, 2, 0]
539.690283, 146.16, [-2, 2, 0]
